tile1
03:05:28.430 37630.58 293.99 8192 0.00 95.632 0.000 95.632 953.244 40.301 3598.7 2.8 1.5 
Write_Miss_8K
04:05:33.408 29032.32 226.81 8192 0.00 123.968 0.000 123.968 1368.540 89.767 3599.1 2.2 1.2 
tile4
tile5
warmup
23:20:22.475 852.53 852.53 1048576 100.00 4226.491 4226.491 0.000 5584.102 NaN 3599.5 0.5 0.2 
Read_Hit_8K
23:55:29.442 33186.15 259.27 8192 100.00 108.458 108.458 0.000 1016.629 9.625 3599.2 2.3 1.3 
Read_Miss_8K
00:30:34.432 30308.36 236.78 8192 100.00 118.760 118.760 0.000 1474.050 11.920 3599.4 2.1 1.2 
70_30_8K
01:05:40.754 27889.86 217.89 8192 69.74 129.058 129.688 127.606 487.897 13.608 3599.4 1.9 1.1 
70_30_80%_Hit_8K
02:05:47.799 28325.09 221.29 8192 69.96 127.077 127.476 126.148 642.763 12.383 3599.4 1.9 1.1 
Write_Hit_8K
03:05:53.432 37774.81 295.12 8192 0.00 95.269 0.000 95.269 892.754 39.759 3598.6 2.9 1.6 
Write_Miss_8K
04:05:58.455 29256.22 228.56 8192 0.00 123.021 0.000 123.021 1343.052 89.139 3599.1 2.2 1.2 
tile6
warmup
23:20:21.499 911.50 911.50 1048576 100.00 3952.766 3952.766 0.000 5205.561 NaN 3599.4 0.5 0.2 
Read_Hit_8K
23:55:28.467 32224.77 251.76 8192 100.00 111.693 111.693 0.000 1024.807 9.460 3599.2 2.3 1.2 
Read_Miss_8K
00:30:33.441 30300.49 236.72 8192 100.00 118.791 118.791 0.000 1636.516 11.794 3599.4 2.1 1.2 
70_30_8K
01:05:39.722 27870.35 217.74 8192 69.75 129.148 129.743 127.778 516.125 13.435 3599.4 1.9 1.1 
70_30_80%_Hit_8K
02:05:45.770 27879.18 217.81 8192 69.99 129.107 129.509 128.170 666.809 12.340 3599.3 1.9 1.1 
Write_Hit_8K
03:05:51.422 37792.29 295.25 8192 0.00 95.226 0.000 95.226 819.548 39.618 3598.7 2.9 1.6 
Write_Miss_8K
04:05:56.421 29210.88 228.21 8192 0.00 123.211 0.000 123.211 1386.106 89.175 3599.0 2.2 1.2 
tile7
warmup
23:20:09.497 847.29 847.29 1048576 100.00 4249.371 4249.371 0.000 5554.927 NaN 3599.5 0.5 0.2 
Read_Hit_8K
23:55:17.435 33249.40 259.76 8192 100.00 108.248 108.248 0.000 1297.913 9.498 3599.2 2.4 1.3 
Read_Miss_8K
00:30:22.407 30361.07 237.20 8192 100.00 118.554 118.554 0.000 1733.248 11.589 3599.4 2.1 1.2 
70_30_8K
01:05:28.738 27888.73 217.88 8192 69.75 129.060 129.617 127.777 641.960 13.029 3599.3 1.9 1.1 
70_30_80%_Hit_8K
02:05:34.803 28313.84 221.20 8192 69.97 127.128 127.526 126.201 745.291 11.740 3599.4 1.9 1.1 
Write_Hit_8K
03:05:40.440 37762.56 295.02 8192 0.00 95.302 0.000 95.302 1097.284 39.521 3598.8 2.9 1.6 
Write_Miss_8K
04:05:45.457 29157.36 227.79 8192 0.00 123.439 0.000 123.439 1457.147 88.911 3599.1 2.2 1.2 
tile8
warmup
23:19:44.481 853.80 853.80 1048576 100.00 4212.781 4212.781 0.000 5535.549 NaN 3599.4 0.5 0.2 
Read_Hit_8K
23:54:53.462 33358.41 260.61 8192 100.00 107.894 107.894 0.000 949.680 9.701 3599.2 2.3 1.3 
Read_Miss_8K
00:29:58.421 30463.61 238.00 8192 100.00 118.155 118.155 0.000 1461.161 12.050 3599.4 2.1 1.2 
70_30_8K
01:05:03.745 27963.11 218.46 8192 69.76 128.718 129.250 127.490 762.144 13.782 3599.4 1.9 1.1 
70_30_80%_Hit_8K
02:05:09.775 28376.30 221.69 8192 69.97 126.847 127.237 125.938 789.496 12.364 3599.4 1.9 1.1 
Write_Hit_8K
03:05:15.437 37850.40 295.71 8192 0.00 95.077 0.000 95.077 804.455 39.522 3598.7 2.8 1.6 
Write_Miss_8K
04:05:20.414 29237.58 228.42 8192 0.00 123.099 0.000 123.099 1371.508 89.042 3599.1 2.2 1.2 
tile9
warmup
23:20:34.556 861.82 861.82 1048576 100.00 4181.186 4181.186 0.000 5668.111 NaN 3599.4 0.6 0.2 
Read_Hit_8K
23:55:42.490 33203.42 259.40 8192 100.00 108.394 108.394 0.000 1148.235 10.437 3599.0 2.5 1.4 
Read_Miss_8K
00:30:47.471 30376.42 237.32 8192 100.00 118.495 118.495 0.000 1757.743 12.740 3599.4 2.3 1.3 
70_30_8K
01:05:52.897 27999.23 218.74 8192 69.75 128.551 129.143 127.187 924.332 14.461 3599.3 2.0 1.2 
70_30_80%_Hit_8K
02:05:58.898 28435.09 222.15 8192 69.96 126.580 126.967 125.680 1000.486 13.488 3599.2 2.1 1.2 
Write_Hit_8K
03:06:04.519 38133.04 297.91 8192 0.00 94.373 0.000 94.373 979.905 39.610 3598.6 3.1 1.7 
Write_Miss_8K
04:06:09.464 29712.08 232.13 8192 0.00 121.129 0.000 121.129 1457.768 87.987 3598.9 2.5 1.4 
